source_ticker,source_cik,source_name,relation_type,related_name,related_ticker,filing_date,filing_accession,collected_at
INDI,0001841925,"indie Semiconductor, Inc.",supplier,TSMC,,2026-02-27,0001193125-26-082535,2026-08-29T01:03:10.545918+00:00
CEVA,0001173489,CEVA INC,customer,ASR Microelectronics,,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
CEVA,0001173489,CEVA INC,customer,Broadcom,AVGO,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
CEVA,0001173489,CEVA INC,customer,Intel,INTC,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
CEVA,0001173489,CEVA INC,customer,LG Electronics,,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
CEVA,0001173489,CEVA INC,customer,Microchip,,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
CEVA,0001173489,CEVA INC,customer,Nordic Semiconductor,,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
CEVA,0001173489,CEVA INC,customer,NXP,,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
CEVA,0001173489,CEVA INC,customer,Qualcomm,,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
CEVA,0001173489,CEVA INC,customer,Renesas,,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
CEVA,0001173489,CEVA INC,customer,STMicroelectronics,,2026-02-27,0001437749-26-006091,2026-08-30T18:46:22.581481+00:00
SERV,0001832483,Serve Robotics Inc. /DE/,customer,"Diligent Robotics, Inc.",,2026-03-12,0001832483-26-000010,2026-08-30T19:17:18.364827+00:00
SERV,0001832483,Serve Robotics Inc. /DE/,supplier,NVIDIA Corporation,NVDA,2026-03-12,0001832483-26-000010,2026-08-30T19:17:18.364827+00:00
AIP,0001667011,"Arteris, Inc.",customer,Renesas,,2026-02-12,0001628280-26-007726,2026-08-31T16:24:05.147680+00:00
AIP,0001667011,"Arteris, Inc.",customer,NXP,,2026-02-12,0001628280-26-007726,2026-08-31T16:24:05.147680+00:00
AIP,0001667011,"Arteris, Inc.",supplier,Synopsys,SNPS,2026-02-12,0001628280-26-007726,2026-08-31T16:24:05.147680+00:00
AIP,0001667011,"Arteris, Inc.",supplier,Cadence Design Systems,CDNS,2026-02-12,0001628280-26-007726,2026-08-31T16:24:05.147680+00:00
AIP,0001667011,"Arteris, Inc.",supplier,TSMC,,2026-02-12,0001628280-26-007726,2026-08-31T16:24:05.147680+00:00
AIP,0001667011,"Arteris, Inc.",supplier,Intel Foundry,,2026-02-12,0001628280-26-007726,2026-08-31T16:24:05.147680+00:00
MRAM,0001438423,EVERSPIN TECHNOLOGIES INC.,supplier,GLOBALFOUNDRIES Inc.,GFS,2026-03-04,0001628280-26-014733,2026-09-01T00:47:15.090910+00:00
MRAM,0001438423,EVERSPIN TECHNOLOGIES INC.,supplier,GLOBALFOUNDRIES Singapore Pte. Ltd.,,2026-03-04,0001628280-26-014733,2026-09-01T00:47:15.090910+00:00
MRAM,0001438423,EVERSPIN TECHNOLOGIES INC.,customer,QuickLogic Corporation,QUIK,2026-03-04,0001628280-26-014733,2026-09-01T00:47:15.090910+00:00
MRAM,0001438423,EVERSPIN TECHNOLOGIES INC.,supplier,"Freescale Semiconductor, Inc.",,2026-03-04,0001628280-26-014733,2026-09-01T00:47:15.090910+00:00
AVNW,0001377789,"AVIAT NETWORKS, INC.",supplier,Taiwan Semiconductor Manufacturing Company (for MMICs),,2026-08-27,0001628280-26-059187,2026-09-01T01:35:24.789105+00:00
QUIK,0000882508,QUICKLOGIC Corp,customer,Fabless semiconductor companies,,2026-03-27,0001437749-26-010089,2026-09-01T01:46:14.184881+00:00
QUIK,0000882508,QUICKLOGIC Corp,supplier,GlobalFoundries,GFS,2026-03-27,0001437749-26-010089,2026-09-01T01:46:14.184881+00:00
QUIK,0000882508,QUICKLOGIC Corp,supplier,Taiwan Semiconductor Manufacturing Company (TSMC),,2026-03-27,0001437749-26-010089,2026-09-01T01:46:14.184881+00:00
QUIK,0000882508,QUICKLOGIC Corp,supplier,Amkor Technology,AMKR,2026-03-27,0001437749-26-010089,2026-09-01T01:46:14.184881+00:00
GCTS,0001851961,"GCT Semiconductor Holding, Inc.",supplier,United Microelectronics Corporation (UMC),,2026-03-25,0001193125-26-124183,2026-09-01T04:24:21.534089+00:00
MX,0001325702,MAGNACHIP SEMICONDUCTOR Corp,supplier,Infineon Technologies AG,IFNNY,2026-03-16,0001193125-26-108435,2026-09-02T01:33:30.516626+00:00
MX,0001325702,MAGNACHIP SEMICONDUCTOR Corp,supplier,Hynix Semiconductor Inc.,,2026-03-16,0001193125-26-108435,2026-09-02T01:33:30.516626+00:00
LINK,0000828146,INTERLINK ELECTRONICS INC,customer,Digi-Key Electronics,,2026-03-26,0001104659-26-035244,2026-09-02T07:38:05.885032+00:00
UEIC,0000101984,UNIVERSAL ELECTRONICS INC,customer,Samsung Electronics Co.,005930,2026-03-12,0000101984-26-000039,2026-09-02T07:58:39.440736+00:00
